"","GEOID","District","District.Nbr","male_5to9","male_10to14","male_15to17","total_pop","race_white_only","race_Black_only","race_Asian_only","race_pacific_islander_only","at_least_two_races","SSI_pubassist_foodstamps","med_household_inc_12mo","house_units_w_mortgage","med_gross_rent","comp_internet_subscrip_in_house","CONUM","CSA","CBSA","ENROLL","TOTALREV","TFEDREV","FEDRCOMP","FEDRSPEC","FEDRNUTR","FEDROTHR","TSTREV","STRFORM","STRSPEC","STRTRANS","STROTHR","TLOCREV","LOCRTAX","LOCRPROP","LOCRPAR","LOCRCICO","LOCROSCH","LOCRCHAR","LOCROTHR","TOTALEXP","TCURSPND","TSALWAGE","TEMPBENE","TCURINST","TCURISAL","TCURIBEN","TCURSSVC","TCURSPUP","TCURSSTA","TCURSGEN","TCURSSCH","TCURSOTH","TCURONON","TCAPOUT","TPAYOTH","TINTRST","DEBTOUT","LONGISSU","LONGRET","PCTTOTAL","PCTFTOT","PCTFCOMP","PCTSTOT","PCTSFORM","PCTLTOT","PCTLTAXP","PCTLOTHG","PCTLCHAR","PPCSTOT","PPSALWG","PPEMPBEN","PPITOTAL","PPISALWG","PPIEMBEN","PPSTOTAL","PPSPUPIL","PPSSTAFF","PPSGENAD","PPSSCHAD","Avg.Comp"
"11",2700023,"Buffalo Lake-Hector-Stewart Public Schools",2159,110,114,85,3706,3443,22,6,0,34,763,56515,1304,664,1628,"27129","N","N",525,6852,256,67,0,127,62,5048,4254,289,2,503,1548,1000,1000,0,19,28,253,248,7016,6069,3728,958,3571,2535,603,2016,144,248,153,278,1193,482,693,241,13,0,0,0,100,3.7,1,73.7,62.1,22.6,14.6,0.7,3.7,11162,7101,1825,6802,4829,1149,3840,274,472,291,530,19.9
"12",2700024,"Warren-Alvarado-Oslo School District",2176,124,173,38,3732,3530,23,7,0,49,923,61103,1181,644,1566,"27089","N","N",493,7276,312,69,0,155,88,5147,4362,405,0,380,1817,1359,1359,0,21,0,233,204,6758,6247,3672,1278,3625,2441,877,2184,191,223,190,343,1237,438,295,115,101,3099,0,216,100,4.3,0.9,70.7,60,25,18.7,0.3,3.2,12513,7448,2592,7353,4951,1779,4430,387,452,385,696,19.3
"13",2700088,"Lakeview School District",2167,92,119,60,2812,2652,17,39,0,14,774,62353,894,561,1096,"27083","N","32140",670,9310,307,38,0,156,113,6428,5103,667,0,658,2575,1906,1906,0,30,4,561,74,8813,7862,4661,1100,4851,3376,781,2221,158,267,212,290,1294,790,263,304,384,12220,0,964,100,3.3,0.4,69,54.8,27.7,20.5,0.4,6,11210,6957,1642,7240,5039,1166,3315,236,399,316,433,18.2
"14",2700089,"NRHEG School District",2168,132,187,130,5006,4853,36,33,0,42,1096,60731,1680,675,2089,"27161","N","N",892,10927,581,117,224,203,37,8154,6596,849,0,709,2192,1322,1322,0,27,51,443,349,10859,9900,5983,1799,6367,4223,1206,2835,236,418,245,362,1574,698,617,205,137,2939,0,1818,100,5.3,1.1,74.6,60.4,20.1,12.1,0.7,4.1,10854,6707,2017,7138,4734,1352,3178,265,469,275,406,20.1
"15",2700090,"Murray County Central School District",2169,168,134,103,4665,4536,24,35,0,40,985,57361,1663,535,2111,"27101","N","N",739,9708,320,78,0,170,72,7312,5794,778,19,721,2076,1310,1310,0,39,11,362,354,10982,9176,4945,1987,5584,3571,1426,2828,239,328,232,374,1655,764,1626,171,9,4760,4745,88,100,3.3,0.8,75.3,59.7,21.4,13.5,0.5,3.7,11996,6691,2689,7556,4832,1930,3827,323,444,314,506,21.2
"16",2700091,"M.A.C.C.R.A.Y. School District",2180,232,160,70,4672,4380,7,31,0,80,1266,64228,1397,695,1820,"27023","N","N",717,10786,460,114,0,245,101,7160,5726,619,32,783,3166,2257,2257,0,51,35,439,384,10725,9653,5399,1398,5337,3674,972,3364,119,417,298,492,2038,952,771,205,96,5619,0,611,100,4.3,1.1,66.4,53.1,29.4,20.9,0.8,4.1,12817,7530,1950,7444,5124,1356,4692,166,582,416,686,19.1
"17",2700099,"Yellow Medicine East",2190,185,233,159,6727,6010,41,25,0,151,1600,59558,2076,611,2777,"27173","N","N",728,11917,874,139,0,187,548,7735,5705,1096,15,919,3308,2557,2557,0,50,48,402,251,12969,10077,4970,1145,6205,3334,762,3064,318,322,234,460,1730,808,682,1821,389,7721,0,859,100,7.3,1.2,64.9,47.9,27.8,21.5,0.8,3.4,13317,6827,1573,8523,4580,1047,4209,437,442,321,632,18.6
"18",2700100,"Fillmore Central",2198,196,194,74,4847,4776,8,16,1,40,1270,59263,1533,589,1995,"27045","462","40340",641,9374,610,161,215,179,55,6004,4814,580,0,610,2760,1514,1514,0,23,38,868,317,8431,7455,4509,963,4105,2898,655,2171,85,212,221,295,1358,1179,692,104,180,7230,0,380,100,6.5,1.7,64,51.4,29.4,16.2,0.7,9.3,10509,7034,1502,6404,4521,1022,3387,133,331,345,460,19.3
"19",2700101,"Norman County East School District",2215,63,72,60,2101,1957,34,14,0,49,489,59286,743,640,876,"27107","N","N",292,4240,181,62,0,90,29,3255,2672,207,0,376,804,492,492,0,12,38,138,124,4450,4064,2458,698,2131,1457,405,1619,194,73,289,245,818,314,147,239,0,0,0,10,100,4.3,1.5,76.8,63,19,11.6,1.2,3.3,13534,8418,2390,7298,4990,1387,5545,664,250,990,839,19.3
"20",2700102,"Sibley East School District",2310,292,298,193,7595,7175,102,81,2,70,1778,62706,2379,716,3086,"27143","378","33460",1195,17434,678,144,0,377,157,11253,8997,853,25,1378,5503,3870,3870,0,19,0,849,765,24534,13987,8162,3146,8916,5690,2254,3729,376,555,326,622,1850,1342,8564,511,1472,39219,0,1066,100,3.9,0.8,64.5,51.6,31.6,22.2,0.1,4.9,11311,6830,2633,7461,4762,1886,3121,315,464,273,521,20.7
"21",2700103,"Clearbrook-Gonvick School District",2311,98,91,51,2665,2468,0,25,0,110,597,49178,945,545,1099,"27029","N","N",450,6746,370,115,0,152,103,4499,3310,572,0,617,1877,1538,1538,0,33,0,209,97,6302,5778,2975,780,3228,2092,554,2058,87,308,174,203,1286,492,149,284,91,3054,0,685,100,5.5,1.7,66.7,49.1,27.8,22.8,0.5,3.1,12491,6611,1733,7173,4649,1231,4573,193,684,387,451,18.5
"22",2700104,"West Central Area",2342,143,167,90,5044,4882,9,5,2,126,1114,57347,1784,645,2206,"27051","N","N",756,10521,361,144,2,191,24,7261,6236,533,18,474,2899,2074,2074,0,59,22,372,372,10876,9691,5454,1416,5743,3911,1047,3272,134,316,222,487,2113,676,710,454,21,892,0,118,100,3.4,1.4,69,59.3,27.6,19.7,0.8,3.5,12493,7214,1873,7597,5173,1385,4328,177,418,294,644,20.4
"23",2700105,"Belgrade-Brooten-Elrosa Public School District",2364,135,168,105,4530,4255,63,22,0,64,1058,56905,1417,729,1756,"27145","378","41060",658,8294,466,100,0,134,232,6154,4643,567,403,541,1674,924,924,0,36,9,496,209,8293,7382,4418,1412,4533,3177,1070,2197,97,227,271,247,1355,652,746,81,84,2170,0,430,100,5.6,1.2,74.2,56,20.2,11.1,0.5,6,10863,6714,2146,6889,4828,1626,3339,147,345,412,375,19
"24",2700106,"A.C.G.C. Public School District",2396,178,220,116,5730,5618,5,12,0,73,1280,60640,1983,737,2395,"27093","N","N",832,11240,501,160,0,218,123,8096,6369,852,4,871,2643,1673,1673,0,38,3,588,341,12221,10970,6399,1506,6361,4628,1084,3719,172,239,205,382,2721,890,815,384,52,1437,1474,37,100,4.5,1.4,72,56.7,23.5,14.9,0.4,5.2,12636,7691,1810,7645,5563,1303,4470,207,287,246,459,20.5
"25",2700107,"Greenbush-Middle River School District",2683,88,116,45,2702,2574,80,1,9,29,654,54178,925,532,1079,"27135","N","N",331,5259,153,39,0,70,44,4322,3682,327,0,313,784,440,440,0,42,94,131,77,5941,5407,3363,744,3338,2421,603,1780,15,128,243,240,1154,289,290,233,11,670,0,50,100,2.9,0.7,82.2,70,14.9,8.4,2.6,2.5,16202,10160,2248,10085,7314,1822,5378,45,387,734,725,22.1
"26",2700108,"Pipestone Area School District",2689,243,239,167,7036,6354,124,11,0,242,1687,51250,2305,547,3130,"27117","N","N",1142,16461,851,230,0,444,177,11411,8796,1275,20,1320,4199,3062,3062,0,45,0,659,433,17202,14604,7357,1815,8594,5556,1186,4644,306,492,396,595,2855,1366,1498,1028,72,3795,790,1480,100,5.2,1.4,69.3,53.4,25.5,18.6,0.3,4,12372,6442,1589,7525,4865,1039,4067,268,431,347,521,20.6
"27",2700109,"Long Prairie-Grey Eagle School District",2753,391,279,174,8522,7677,74,114,0,137,2170,50565,2639,674,3348,"27153","N","N",889,13716,1227,267,0,533,427,9936,7151,682,60,2043,2553,1791,1791,0,63,4,303,392,14567,12120,7128,2077,7273,4999,1540,3447,260,395,345,478,1969,1400,1497,672,278,9252,0,385,100,8.9,1.9,72.4,52.1,18.6,13.1,0.5,2.2,12877,8018,2336,8181,5623,1732,3877,292,444,388,538,21
"28",2700110,"Cedar Mountain School District",2754,60,143,57,2361,2152,39,1,0,75,552,55729,748,564,949,"27127","N","N",473,7670,372,65,0,167,140,5370,3750,1054,9,557,1928,1326,1326,0,9,28,445,120,7452,6598,3805,873,3451,2438,589,2311,241,128,189,301,1452,836,351,136,367,9230,0,394,100,4.9,0.8,70,48.9,25.1,17.3,0.5,5.8,12973,8044,1846,7296,5154,1245,4886,510,271,400,636,19.2
"29",2700123,"Howard Lake-Waverly-Winsted",2687,306,292,145,8582,8288,90,39,0,108,2085,69032,2669,785,3450,"27171","378","33460",1230,18359,459,125,0,223,111,11406,8847,1316,7,1236,6494,4727,4727,0,40,30,1008,689,17614,14433,8228,2319,8500,5919,1677,4593,409,281,357,475,3071,1340,1188,379,1614,41560,0,1639,100,2.5,0.7,62.1,48.2,35.4,25.7,0.4,5.5,11208,6689,1885,6911,4812,1363,3734,333,228,290,386,20.4
"30",2700124,"Fairmont Area School District",2752,609,345,230,12212,11657,59,99,0,187,2673,49325,3847,622,5485,"27091","N","21860",1767,25441,1216,415,0,566,235,16858,12710,1249,49,2850,7367,5331,5331,0,51,138,873,974,25793,20390,10136,3220,12260,7193,2278,6536,638,1046,487,628,3737,1594,1380,2146,1877,50830,6949,1322,100,4.8,1.6,66.3,50,29,21,0.7,3.4,11220,5736,1822,6938,4071,1289,3699,361,592,276,355,20.3
"31",2700125,"Lac Qui Parle Valley School District",2853,208,149,91,6251,5743,57,45,192,85,1218,50000,2276,538,2972,"27073","N","N",820,11622,633,144,0,299,190,8434,6341,1092,0,1001,2555,1670,1670,0,105,18,499,263,11474,10741,7041,1658,6729,4995,1174,3067,180,513,198,362,1814,945,454,256,23,1615,0,90,100,5.4,1.2,72.6,54.6,22,14.4,1.1,4.3,12562,8587,2022,8206,6091,1432,3740,220,626,241,441,20
"32",2700126,"Ada-Borup Public School District",2854,110,101,30,2573,2381,7,3,0,65,648,58185,819,490,1053,"27107","N","N",603,7835,335,82,0,197,56,5911,4784,517,0,610,1589,954,954,0,23,151,306,155,7690,6510,3768,1219,4001,2655,828,1979,113,223,89,341,1213,530,671,296,213,6477,0,343,100,4.3,1,75.4,61.1,20.3,12.2,2.2,3.9,10585,6249,2022,6635,4403,1373,3282,187,370,148,566,21.4
"33",2700127,"Stephen-Argyle Central Schools",2856,70,34,66,1946,1897,0,17,0,30,478,69643,669,636,786,"27089","N","N",304,5161,349,28,0,76,245,3428,2814,378,0,236,1384,940,940,0,15,26,224,179,5536,4608,2631,656,2595,1685,454,1451,48,114,229,145,915,562,648,209,71,3154,1005,154,100,6.8,0.5,66.4,54.5,26.8,18.2,0.8,4.3,14135,8655,2158,8536,5543,1493,4773,158,375,753,477,21.1
"34",2700128,"Glencoe-Silver Lake School District",2859,396,429,356,12711,11699,108,16,0,233,3095,62270,4095,695,4926,"27085","378","26780",1636,21386,919,212,0,363,344,15208,11905,1721,84,1498,5259,3473,3473,0,45,0,1229,512,28942,18944,10286,2845,11582,8101,2397,5539,439,754,275,564,3507,1823,8697,369,932,23776,0,630,100,4.3,1,71.1,55.7,24.6,16.2,0.2,5.7,11049,6287,1739,7079,4952,1465,3386,268,461,168,345,21.5
"35",2700130,"Blue Earth Area Public Schools",2860,212,262,167,7659,7478,25,8,0,44,1523,52287,2589,578,3533,"27043","N","N",1122,15244,702,313,0,283,106,10477,8301,689,3,1484,4065,2262,2262,0,27,1,1389,386,15612,14301,9013,2547,8247,5927,1611,4371,296,771,498,666,2140,1683,853,296,162,5376,0,343,100,4.6,2.1,68.7,54.5,26.7,14.8,0.2,9.1,11808,8033,2270,7350,5283,1436,3896,264,687,444,594,19.8
"36",2700132,"Red Rock Central School District",2884,79,97,64,3197,3058,9,14,0,42,701,57950,1186,580,1395,"27127","N","N",438,5757,318,94,0,135,89,4204,3526,213,0,465,1235,865,865,0,21,0,244,105,5481,4806,3084,841,3157,2251,635,1288,88,100,179,194,727,361,508,159,8,226,0,104,100,5.5,1.6,73,61.2,21.5,15,0.4,4.2,10655,7041,1920,7208,5139,1450,2941,201,228,409,443,21.2
"37",2700148,"Glenville-Emmons School District",2886,72,71,31,2618,2546,4,25,0,37,510,57188,964,587,1111,"27047","N","10660",239,4271,157,57,0,66,34,3032,2487,315,0,230,1082,762,762,0,17,0,149,154,4093,3674,2010,659,2409,1329,482,1038,10,105,80,275,568,227,241,155,23,54,0,0,100,3.7,1.3,71,58.2,25.3,17.8,0.4,3.5,15180,8410,2757,10079,5561,2017,4343,42,439,335,1151,16.9
"38",2700150,"Clinton-Graceville-Beardsley",2888,59,51,26,2282,2258,3,0,0,0,521,54250,763,632,986,"27011","N","N",341,5149,171,55,0,81,35,3752,3069,369,0,314,1226,693,693,0,29,19,179,306,5546,4837,2652,593,2774,1844,401,1782,95,92,216,185,1194,281,503,206,0,84,0,42,100,3.3,1.1,72.9,59.6,23.8,13.5,0.9,3.5,13962,7777,1739,8135,5408,1176,5226,279,270,633,543,19.2
"39",2700162,"Lake Park Audubon School District",2889,144,137,97,5122,4857,10,15,3,103,1120,68352,1916,671,2120,"27005","N","N",703,10167,868,93,0,174,601,5940,5016,469,0,455,3359,2525,2525,0,39,49,416,330,8370,7718,4845,1246,4529,3180,838,2410,179,338,239,372,1282,779,414,178,60,0,0,1300,100,8.5,0.9,58.4,49.3,33,24.8,0.9,4.1,10553,6892,1772,6442,4523,1192,3428,255,481,340,529,19.3
"40",2700163,"Renville County West School District",2890,184,155,79,4181,3698,1,32,0,21,1142,62218,1333,648,1627,"27129","N","N",563,8680,468,126,0,178,164,5726,4374,574,28,750,2486,2092,2092,0,30,15,188,161,8369,7178,4734,1204,4686,3341,849,2031,189,58,236,332,1216,461,703,194,294,10393,0,500,100,5.4,1.5,66,50.4,28.6,24.1,0.5,2.2,12490,8409,2139,8323,5934,1508,3607,336,103,419,590,18.8
"41",2700182,"Redwood Area School District",2897,240,318,175,7996,6709,49,69,0,175,2003,52574,2430,708,3287,"27127","N","N",1146,17235,1216,266,0,420,530,11445,8708,1100,40,1597,4574,2997,2997,0,57,0,904,616,16145,14063,8061,2210,7672,5510,1529,4954,528,743,638,493,2552,1437,1770,212,100,0,394,1385,100,7.1,1.5,66.4,50.5,26.5,17.4,0.3,5.2,11725,7034,1928,6695,4808,1334,4323,461,648,557,430,20.4
"42",2700183,"Westbrook-Walnut Grove Schools",2898,83,93,57,2807,2477,3,296,0,9,613,57500,964,491,1178,"27033","N","N",369,6043,378,153,0,169,56,4461,3542,323,0,596,1204,502,502,0,10,47,202,443,6258,5810,3675,803,3747,2576,569,1605,97,153,164,289,902,458,231,217,0,0,0,0,100,6.3,2.5,73.8,58.6,19.9,8.3,0.9,3.3,15230,9959,2176,10154,6981,1542,4350,263,415,444,783,19.3
"43",2700231,"Jackson County Central School District",2895,170,254,139,7404,6975,39,195,0,133,1520,57138,2715,725,3378,"27063","N","N",1127,15927,593,144,0,302,147,10890,8595,1185,40,1070,4444,3162,3162,0,49,0,738,495,15124,13904,8804,2335,8756,6213,1602,3888,332,413,310,830,2003,1260,735,290,195,5195,0,1200,100,3.7,0.9,68.4,54,27.9,19.9,0.3,4.6,11818,7812,2072,7769,5513,1421,3450,295,366,275,736,19.6
"44",2700287,"Plainview-Elgin-Millville",2899,257,307,166,7913,7767,23,33,0,38,1967,71685,2476,621,3143,"27157","462","40340",1478,16676,462,146,0,183,133,13031,10505,1258,20,1248,3183,2111,2111,0,110,40,819,103,16402,14534,8399,2425,9272,6581,1867,4145,393,437,302,678,2335,1117,1336,424,108,3965,0,607,100,2.8,0.9,78.1,63,19.1,12.7,0.9,4.9,9445,5683,1641,6273,4453,1263,2804,266,296,204,459,20.7
"45",2700294,"RTR Public Schools",2902,203,133,55,3610,3510,9,30,0,40,972,60357,1195,661,1444,"27081","N","N",584,7613,264,68,0,113,83,5928,4982,515,45,386,1421,704,704,0,45,13,434,225,7885,7146,3656,929,3776,2457,618,2814,141,148,339,399,1787,556,350,389,0,0,0,0,100,3.5,0.9,77.9,65.4,18.7,9.2,0.8,5.7,11918,6260,1591,6466,4207,1058,4818,241,253,580,683,21.3
"46",2700326,"Tracy Area Public School District",2904,165,169,61,5301,4911,1,215,0,84,1265,57688,1806,611,2191,"27083","N","32140",739,9882,512,153,0,313,46,7118,5614,565,19,920,2252,1496,1496,0,65,83,358,250,9985,8886,5201,1345,5318,3606,968,2781,114,482,243,379,1563,787,758,311,30,1280,0,190,100,5.2,1.5,72,56.8,22.8,15.1,1.5,3.6,11740,7038,1820,7196,4880,1310,3763,154,652,329,513,21
"47",2700328,"Ortonville Public Schools",2903,84,92,66,3404,3259,0,9,0,89,638,54239,1169,571,1626,"27011","N","N",498,7680,421,84,0,181,156,5388,4148,673,0,567,1871,1177,1177,0,38,0,273,383,7177,6747,4106,1073,4297,2937,771,1961,217,286,168,115,1175,489,185,209,36,2212,1511,717,100,5.5,1.1,70.2,54,24.4,15.3,0.5,3.6,13279,8245,2155,8629,5898,1548,3938,436,574,337,231,19.6
"48",2700379,"Tri-City United School District",2905,263,521,230,12574,11973,103,41,26,217,3173,70173,3948,908,4810,"27079","378","33460",1925,25963,1256,255,401,491,109,17949,13929,1719,20,2281,6758,5286,5286,0,87,11,1249,125,25459,21674,12278,4163,12687,8685,3154,6969,474,991,338,902,4264,2018,2294,456,1035,57128,23382,1787,100,4.8,1,69.1,53.6,26,20.4,0.4,4.8,10821,6378,2163,6591,4512,1638,3620,246,515,176,469,NA
"49",2700382,"Brandon-Evansville Public Schools",2908,115,163,74,3375,3311,10,3,0,27,784,68953,1241,603,1448,"27041","N","10820",465,5903,296,53,0,103,140,4374,3685,272,0,417,1233,833,833,0,16,8,294,82,5772,5154,2796,823,3397,2239,664,1278,1,48,159,143,927,479,235,383,0,0,0,0,100,5,0.9,74.1,62.4,20.9,14.1,0.4,5,10660,6013,1770,7305,4815,1428,2748,2,103,342,308,21.2
"50",2700383,"Morris Area Public Schools",2769,208,259,125,7715,6968,187,157,15,92,1563,59160,1996,750,3037,"27149","N","N",1026,14909,327,112,0,192,23,9883,7767,1291,32,793,4699,3417,3417,0,21,0,844,417,14850,11477,7590,1674,7426,5472,1118,2848,243,235,220,498,1652,1203,2313,369,691,39146,19195,1700,100,2.2,0.8,66.3,52.1,31.5,22.9,0.1,5.7,10555,7398,1632,7238,5333,1090,2776,237,229,214,485,20.9
"51",2700385,"Red Lake County Central Public Schools",2906,94,88,32,2140,2020,19,1,0,36,573,60729,695,491,801,"27125","N","N",401,6357,217,52,0,125,40,4268,3352,502,0,414,1872,1357,1357,0,14,0,190,311,6054,5371,3439,880,3250,2194,585,1716,1,116,239,423,937,405,479,167,37,1370,0,260,100,3.4,0.8,67.1,52.7,29.4,21.3,0.2,3,13065,8576,2195,8105,5471,1459,4279,2,289,596,1055,16.6
"52",2702640,"Lester Prairie Public School District",424,163,138,69,3123,3076,5,2,0,40,882,64006,1024,549,1179,"27085","378","26780",443,5808,196,51,0,90,55,4157,3459,248,40,410,1455,793,793,0,1,50,321,290,5334,4867,2429,900,3094,1843,653,1320,88,139,151,140,802,453,196,188,83,3242,0,309,100,3.4,0.9,71.6,59.6,25.1,13.7,0.9,5.5,10526,5483,2032,6984,4160,1474,2980,199,314,341,316,19.8
"53",2702720,"Southland Public School District",500,111,131,92,3484,3450,1,16,0,14,777,67383,1161,574,1337,"27099","462","12380",434,7026,194,49,0,73,72,4364,3508,518,0,338,2468,1109,1109,0,23,761,326,249,6946,6291,3551,733,3881,2635,543,2004,113,164,238,325,1164,406,244,411,0,132,0,95,100,2.8,0.7,62.1,49.9,35.1,15.8,11.2,4.6,14097,8182,1689,8942,6071,1251,4618,260,378,548,749,19.9
"54",2702730,"Adrian Public School District",511,81,92,48,2353,2251,7,31,0,36,598,61205,765,633,929,"27105","N","49380",585,7773,346,60,0,150,136,5616,4580,534,0,502,1811,1276,1276,0,8,47,362,118,7317,6712,3562,1151,3840,2577,840,2304,159,198,121,325,1501,568,448,120,37,1110,0,1415,100,4.5,0.8,72.3,58.9,23.3,16.4,0.7,4.7,11202,6089,1968,6564,4405,1436,3938,272,338,207,556,21.3
"55",2702760,"Aitkin Public School District",1,355,184,140,9418,9034,49,36,14,131,1491,50395,3749,802,4583,"27001","N","N",1176,14292,684,210,0,367,107,10952,8533,1179,0,1240,2656,1074,1074,0,724,7,562,289,16198,14546,8865,2561,8601,5814,1798,4753,379,995,229,593,2557,1192,1279,362,11,3637,3065,110,100,4.8,1.5,76.6,59.7,18.6,7.5,5.1,3.9,11993,7538,2178,7314,4944,1529,4042,322,846,195,504,19.8
"56",2702910,"Walker-Hackensack-Akeley School District",113,168,125,137,7148,6025,33,38,0,254,1238,51654,2732,753,3362,"27021","N","14660",804,12697,1458,482,211,248,517,7550,5020,1033,457,1040,3689,2507,2507,0,360,4,381,437,11948,10728,6922,1769,6858,4786,1241,3142,300,276,473,328,1765,728,693,229,298,7705,0,1014,100,11.5,3.8,59.5,39.5,29.1,19.7,2.9,3,13005,8609,2200,8530,5953,1544,3908,373,343,588,408,22
